id data sabor tamanho preco pgto atendente avaliacao
515 2024-05-29 Napolitano MÉDIO 10.446298558146943 Dinheiro Maria 1.0
77 2023-03-18 Menta MÉDIO 10.44881586174327 PIX Maria 2.0
926 2025-07-14 Amendoim MÉDIO 10.460870257215712 Cartão Maria 4.0
984 2025-09-10 Flocos MÉDIO 10.509847501726167 Dinheiro Carlos 2.0
432 2024-03-07 Coco MÉDIO 10.578575105703466 Dinheiro Carlos 5.0
465 2024-04-09 Limao MÉDIO 10.602406463661259 Cartão Carlos 5.0
145 2023-05-25 Uva MÉDIO 10.745859803301396 Cartão Carlos 1.0
643 2024-10-04 Napolitano MÉDIO 10.759912512297346 PIX Carlos 0.0
134 2023-05-14 Amendoim MÉDIO 10.862316095111037 Dinheiro João 2.0
778 2025-02-16 Morango MÉDIO 10.965604524688965 Dinheiro Carlos 1.0
251 2023-09-08 Creme MÉDIO 11.045916172549006 Cartão Carlos 1.0
378 2024-01-13 Creme MÉDIO 11.166607866708718 Cartão Carlos 5.0
860 2025-05-09 Napolitano MÉDIO 11.318149678408837 Cartão Maria 4.0
909 2025-06-27 Chocolate MÉDIO 11.439457412227537 Cartão Maria 4.0
423 2024-02-27 Creme MÉDIO 11.464859903194077 Dinheiro Carlos 1.0
618 2024-09-09 Baunilha MÉDIO 11.485781730238607 Cartão Carlos 4.0
43 2023-02-12 Uva MÉDIO 11.537284298463534 PIX Maria 5.0
22 2023-01-22 Coco MÉDIO 11.54776087759629 PIX Maria 4.0
358 2023-12-24 Morango MÉDIO 11.611407078589947 Dinheiro Carlos 10.0
769 2025-02-07 Chocolate MÉDIO 11.623184161446853 Cartão Maria 4.0
936 2025-07-24 Flocos MÉDIO 11.681009675459215 Cartão Maria 2.0
885 2025-06-03 Napolitano MÉDIO 11.698614845116623 Dinheiro João 4.0
39 2023-02-08 Morango MÉDIO 11.82318789227764 PIX Carlos 5.0
367 2024-01-02 Limao MÉDIO 11.89811273090159 Dinheiro João 4.0
517 2024-05-31 Flocos MÉDIO 12.065661058626835 Dinheiro João 1.0
859 2025-05-08 Napolitano MÉDIO 12.07008454009975 PIX Maria 1.0
44 2023-02-13 Amendoim MÉDIO 12.093218367809767 Cartão Maria 4.0
875 2025-05-24 Napolitano MÉDIO 12.113445621115453 Cartão Carlos 2.0
900 2025-06-18 Banana MÉDIO 12.19987512782331 PIX Maria 4.0
871 2025-05-20 Baunilha MÉDIO 12.261545551233874 PIX João 2.0
170 2023-06-19 Amendoim MÉDIO 12.319046120810071 Cartão Carlos 3.0
662 2024-10-23 Limao MÉDIO 12.356291815229831 Cartão Maria 2.0
220 2023-08-08 Coco MÉDIO 12.432837536468506 PIX Maria 3.0
295 2023-10-22 Napolitano MÉDIO 12.489754908604002 PIX Carlos 1.0
8 2023-01-08 Uva MÉDIO 12.530679260811045 Dinheiro João 1.0
156 2023-06-05 Creme MÉDIO 12.595864129404458 Cartão Maria 4.0
925 2025-07-13 Amendoim MÉDIO 12.645311797289173 Dinheiro João 1.0
887 2025-06-05 Amendoim MÉDIO 12.705263449909696 Cartão João 3.0
883 2025-06-01 Menta MÉDIO 12.784848757618086 PIX Maria 4.0
172 2023-06-21 Baunilha MÉDIO 12.800457478899434 Dinheiro Carlos 4.0
54 2023-02-23 Amendoim MÉDIO 12.834467680675978 PIX Carlos 5.0
159 2023-06-08 Uva MÉDIO 12.8640539890516 Dinheiro João 5.0
16 2023-01-16 Morango MÉDIO 13.066043745644688 Dinheiro João 4.0
999 2025-09-25 Morango MÉDIO 13.079049180571607 Cartão Maria 1.0
1009 2025-10-05 Baunilha MÉDIO 13.167237906974561 PIX Maria 5.0
75 2023-03-16 Uva MÉDIO 13.376409506280035 Dinheiro Carlos 4.0
368 2024-01-03 Chocolate MÉDIO 13.522527268588453 PIX Carlos 3.0
74 2023-03-15 Napolitano MÉDIO 13.586130809065493 Dinheiro Carlos 5.0
723 2024-12-23 Limao MÉDIO 13.64507417335606 Dinheiro Carlos 3.0
232 2023-08-20 Morango MÉDIO 13.754807837950713 PIX Carlos 3.0
521 2024-06-04 Limao MÉDIO 13.780238587499708 PIX Maria 3.0
554 2024-07-07 Coco MÉDIO 13.87676118358182 Cartão João 1.0
977 2025-09-03 Maracuja MÉDIO 13.898038576794491 PIX Maria 4.0
636 2024-09-27 Limao MÉDIO 13.930275843421786 Cartão Maria 4.0
719 2024-12-19 Flocos MÉDIO 13.944945487833188 Cartão Maria 3.0
780 2025-02-18 Morango MÉDIO 13.982323670746924 PIX Carlos 3.0
912 2025-06-30 Uva MÉDIO 14.008546160570212 Cartão João 3.0
867 2025-05-16 Coco MÉDIO 14.011069791556295 Dinheiro Carlos 5.0
807 2025-03-17 Uva MÉDIO 14.041412772123167 Dinheiro João 2.0
233 2023-08-21 Coco MÉDIO 14.067824780806593 Cartão Carlos 1.0
477 2024-04-21 Baunilha MÉDIO 14.116795476514726 PIX Carlos 5.0
505 2024-05-19 Morango MÉDIO 14.134760440753482 Dinheiro Maria 1.0
25 2023-01-25 Uva MÉDIO 14.186589057992848 PIX Maria 3.0
155 2023-06-04 Flocos MÉDIO 14.25519882134763 Cartão João 5.0
345 2023-12-11 Flocos MÉDIO 14.279199337720229 Dinheiro Maria 5.0
360 2023-12-26 Baunilha MÉDIO 14.280842306475467 Cartão Maria 4.0
256 2023-09-13 Baunilha MÉDIO 14.366264626497271 Dinheiro Maria 4.0
470 2024-04-14 Baunilha MÉDIO 14.398260565254478 PIX Maria 1.0
823 2025-04-02 Limao MÉDIO 14.430986785106766 Cartão Maria 4.0
42 2023-02-11 Flocos MÉDIO 14.502523033557353 Dinheiro João 0.0
429 2024-03-04 Baunilha MÉDIO 14.547316058090955 Dinheiro Carlos 3.0
782 2025-02-20 Amendoim MÉDIO 14.55950964727176 Cartão Maria 2.0
395 2024-01-30 Limao MÉDIO 14.561061328526103 PIX Carlos 2.0
627 2024-09-18 Chocolate MÉDIO 14.587865356574566 Dinheiro João 5.0
996 2025-09-22 Limao MÉDIO 14.603580728058844 Cartão Maria 1.0
56 2023-02-25 Morango MÉDIO 14.717458611070057 PIX Carlos 3.0
10 2023-01-10 Amendoim MÉDIO 14.794198637572542 Cartão João 3.0
151 2023-05-31 Amendoim MÉDIO 14.7987405231583 Cartão Carlos 2.0
111 2023-04-21 Napolitano MÉDIO 15.04620469910875 Cartão Maria 3.0
379 2024-01-14 Chocolate MÉDIO 15.070583327637996 Dinheiro Maria 4.0
174 2023-06-23 Morango MÉDIO 15.120246200983642 Cartão Carlos 3.0
208 2023-07-27 Amendoim MÉDIO 15.302910740240964 PIX Maria 5.0
519 2024-06-02 Limao MÉDIO 15.354247317682844 Dinheiro Maria 5.0
670 2024-10-31 Limao MÉDIO 15.367342971262161 Cartão Carlos 1.0
953 2025-08-10 Limao MÉDIO 15.3693507964165 PIX Carlos 2.0
495 2024-05-09 Flocos MÉDIO 15.369497027432686 PIX Carlos 2.0
674 2024-11-04 Limao MÉDIO 15.37007454074941 Cartão Maria 1.0
998 2025-09-24 Flocos MÉDIO 15.39984221447951 Cartão Carlos 1.0
384 2024-01-19 Limao MÉDIO 15.49539818096419 Cartão Carlos 5.0
442 2024-03-17 Banana MÉDIO 15.506045301481821 PIX Carlos 5.0
190 2023-07-09 Baunilha MÉDIO 15.527651939292898 Dinheiro Carlos 5.0
307 2023-11-03 Napolitano MÉDIO 15.529108850316671 Dinheiro Maria 3.0
586 2024-08-08 Morango MÉDIO 15.656894051184148 Dinheiro Maria 1.0
553 2024-07-06 Morango MÉDIO 15.669781435525616 PIX Maria 4.0
568 2024-07-21 Morango MÉDIO 15.679703005740535 Cartão Carlos 0.0
818 2025-03-28 Uva MÉDIO 15.696638956668709 Dinheiro João 0.0
713 2024-12-13 Limao MÉDIO 15.745982250573896 PIX Carlos 2.0
776 2025-02-14 Banana MÉDIO 15.768869875420368 Dinheiro Carlos 3.0
142 2023-05-22 Amendoim MÉDIO 16.042120072787224 PIX Carlos 4.0
989 2025-09-15 Amendoim MÉDIO 16.16134908258962 PIX Maria 2.0
457 2024-04-01 Limao MÉDIO 16.163032679500034 Dinheiro Carlos 5.0
890 2025-06-08 Napolitano MÉDIO 16.212288058934764 PIX João 0.0
191 2023-07-10 Flocos MÉDIO 16.31156510744314 PIX Carlos 3.0
506 2024-05-20 Amendoim MÉDIO 16.744439197438965 PIX Carlos 4.0
897 2025-06-15 Flocos MÉDIO 16.79312302055571 Cartão Maria 4.0
992 2025-09-18 Morango MÉDIO 16.84606745129955 Cartão Maria 5.0
166 2023-06-15 Amendoim MÉDIO 16.893884169363723 Cartão Carlos 3.0
338 2023-12-04 Amendoim MÉDIO 17.028948339178257 Dinheiro Maria 2.0
434 2024-03-09 Pistache MÉDIO 17.128088212712864 Cartão João 4.0
572 2024-07-25 Napolitano MÉDIO 17.155956499291705 Cartão Carlos 1.0
567 2024-07-20 Flocos MÉDIO 17.3021137482549 Dinheiro Maria 3.0
372 2024-01-07 Uva MÉDIO 17.345932878591466 Dinheiro Maria 4.0
760 2025-01-29 Coco MÉDIO 17.46645338923987 Cartão Carlos 1.0
473 2024-04-17 Chocolate MÉDIO 17.513603164441285 Cartão Maria 4.0
439 2024-03-14 Limao MÉDIO 17.52774807655166 PIX Carlos 6.0
512 2024-05-26 Creme MÉDIO 17.549539781369173 Cartão João 4.0
192 2023-07-11 Flocos MÉDIO 17.572737935851972 Cartão João 3.0
758 2025-01-27 Uva MÉDIO 17.621192205946762 Dinheiro Carlos 4.0
722 2024-12-22 Amendoim MÉDIO 17.649620795400672 Dinheiro Maria 2.0
985 2025-09-11 Napolitano MÉDIO 17.783515131024252 Cartão Carlos 2.0
283 2023-10-10 Amendoim MÉDIO 18.034849034854275 Cartão Maria 3.0
456 2024-03-31 Baunilha MÉDIO 18.034869064164763 Cartão Carlos 3.0
863 2025-05-12 Limao MÉDIO 18.111484510350454 PIX João 5.0
534 2024-06-17 Amendoim MÉDIO 18.172671400938892 PIX Maria 1.0
792 2025-03-02 Flocos MÉDIO 18.18157308706949 Dinheiro Carlos 1.0
929 2025-07-17 Chocolate MÉDIO 18.25203699183664 PIX Maria 4.0
186 2023-07-05 Morango MÉDIO 18.313863508066706 Dinheiro Maria 1.0
138 2023-05-18 Flocos MÉDIO 18.319409279769232 PIX Maria 1.0
629 2024-09-20 Baunilha MÉDIO 18.34983277203274 PIX João 5.0
623 2024-09-14 Limao MÉDIO 18.41551459247191 Dinheiro Maria 7.0
708 2024-12-08 Uva MÉDIO 18.441918081976343 Cartão Carlos 5.0
391 2024-01-26 Baunilha MÉDIO 18.44550027121269 PIX João 3.0
801 2025-03-11 Pistache MÉDIO 18.534677745387427 PIX Maria 2.0
614 2024-09-05 Pistache MÉDIO 18.722636814337353 Cartão Carlos 1.0
624 2024-09-15 Morango MÉDIO 18.84937085746652 Cartão Maria 5.0
849 2025-04-28 Baunilha MÉDIO 18.902363246654986 Dinheiro Carlos 2.0
327 2023-11-23 Creme MÉDIO 18.944830360029105 Dinheiro Carlos 6.0
3 2023-01-03 Amendoim MÉDIO 18.945073395173324 Dinheiro Carlos 1.0
214 2023-08-02 Morango MÉDIO 18.954493370133054 Cartão João 1.0
494 2024-05-08 Coco MÉDIO 19.012655555331257 Dinheiro Carlos 2.0
575 2024-07-28 Flocos MÉDIO 19.0826574766875 PIX João 3.0
392 2024-01-27 Pistache MÉDIO 19.115448856438924 Cartão Maria 1.0
278 2023-10-05 Chocolate MÉDIO 19.115589017583595 Dinheiro Carlos 5.0
527 2024-06-10 Coco MÉDIO 19.118693700727004 Dinheiro Maria 5.0
830 2025-04-09 Amendoim MÉDIO 19.152703227265288 Dinheiro João 2.0
707 2024-12-07 Banana MÉDIO 19.233741258541574 Dinheiro Carlos 0.0
957 2025-08-14 Banana MÉDIO 19.246920791834896 PIX Maria 2.0
68 2023-03-09 Creme MÉDIO 19.280948580747523 Cartão Carlos 3.0
877 2025-05-26 Morango MÉDIO 19.340272731354005 Cartão João 2.0
779 2025-02-17 Pistache MÉDIO 19.346988974368184 PIX João 2.0
803 2025-03-13 Amendoim MÉDIO 19.3758983024407 Dinheiro Maria 1.0
744 2025-01-13 Morango MÉDIO 19.487168061585734 Cartão Carlos 3.0
594 2024-08-16 Limao MÉDIO 19.606149343999387 PIX Carlos 4.0
73 2023-03-14 Amendoim MÉDIO 19.606636896606634 Cartão Carlos 2.0
986 2025-09-12 Morango MÉDIO 19.66008577431106 PIX Carlos 4.0
583 2024-08-05 Morango MÉDIO 19.666416262499897 PIX João 1.0
981 2025-09-07 Chocolate MÉDIO 19.753104773679933 Dinheiro Maria 4.0
997 2025-09-23 Morango MÉDIO 19.888793683377894 PIX João 1.0
48 2023-02-17 Napolitano MÉDIO 19.925562859776612 Dinheiro Carlos 1.0
960 2025-08-17 Limao MÉDIO 20.21276026318611 PIX Maria 1.0
813 2025-03-23 Coco MÉDIO 20.220865578940955 PIX João 3.0
273 2023-09-30 Napolitano MÉDIO 20.228068043964264 PIX Carlos 3.0
460 2024-04-04 Napolitano MÉDIO 20.276746514962948 PIX João 1.0
906 2025-06-24 Napolitano MÉDIO 20.29136365241479 PIX Carlos 5.0
605 2024-08-27 Baunilha MÉDIO 20.303733169652507 PIX Carlos 4.0
287 2023-10-14 Pistache MÉDIO 20.312403173950248 Cartão Carlos 4.0
325 2023-11-21 Morango MÉDIO 20.3570821902775 PIX Carlos 4.0
927 2025-07-15 Maracuja MÉDIO 20.479083608099035 PIX João 4.0
399 2024-02-03 Coco MÉDIO 20.50680831386659 Cartão Maria 5.0
645 2024-10-06 Uva MÉDIO 20.656739691163395 PIX Carlos 4.0
694 2024-11-24 Flocos MÉDIO 20.705852934779692 Cartão Carlos 1.0
1011 2025-10-07 Uva MÉDIO 20.72787267798316 PIX João 4.0
389 2024-01-24 Limao MÉDIO 20.75395662630759 Dinheiro Carlos 5.0
635 2024-09-26 Flocos MÉDIO 20.79103977104168 Dinheiro Carlos 5.0
335 2023-12-01 Chocolate MÉDIO 20.85153225525734 PIX João 1.0
774 2025-02-12 Chocolate MÉDIO 20.9214627877528 PIX João 1.0
724 2024-12-24 Coco MÉDIO 21.124323009831595 PIX Carlos 1.0
49 2023-02-18 Morango MÉDIO 21.165675397125064 Cartão João 2.0
393 2024-01-28 Amendoim MÉDIO 21.235851687972946 PIX João 1.0
365 2023-12-31 Uva MÉDIO 21.238088226710406 PIX Carlos 4.0
321 2023-11-17 Amendoim MÉDIO 21.249306523492386 Dinheiro Carlos 2.0
611 2024-09-02 Creme MÉDIO 21.399842712196087 Cartão João 4.0
720 2024-12-20 Pistache MÉDIO 21.553928537609643 Dinheiro Maria 5.0
832 2025-04-11 Limao MÉDIO 21.586915228817343 PIX Maria 3.0
206 2023-07-25 Flocos MÉDIO 21.807143385687716 PIX Carlos 2.0
734 2025-01-03 Flocos MÉDIO 21.8117625950733 Dinheiro Carlos 5.0
560 2024-07-13 Amendoim MÉDIO 21.89108092959244 PIX Carlos 3.0
167 2023-06-16 Flocos MÉDIO 21.96627240245018 Cartão Maria 5.0
66 2023-03-07 Creme MÉDIO 21.96873774439439 Cartão Carlos 1.0
919 2025-07-07 Banana MÉDIO 21.991738248619328 Dinheiro João 4.0
136 2023-05-16 Amendoim MÉDIO 21.99717565056187 Dinheiro Carlos 1.0
243 2023-08-31 Limao MÉDIO 22.090310489969568 PIX João 3.0
396 2024-01-31 Baunilha MÉDIO 22.173990959426714 PIX Carlos 1.0
124 2023-05-04 Limao MÉDIO 22.1937722236612 Cartão Carlos 1.0
556 2024-07-09 Uva MÉDIO 22.250237792964345 Dinheiro Carlos 1.0
23 2023-01-23 Uva MÉDIO 22.27232008215409 PIX João 1.0
386 2024-01-21 Coco MÉDIO 22.292510746420998 PIX Carlos 2.0
242 2023-08-30 Baunilha MÉDIO 22.38736415298231 Cartão Carlos 3.0
822 2025-04-01 Amendoim MÉDIO 22.492552734235048 Dinheiro João 4.0
487 2024-05-01 Pistache MÉDIO 22.51389358759655 Cartão João 1.0
620 2024-09-11 Morango MÉDIO 22.568177116992057 Cartão João 4.0
584 2024-08-06 Coco MÉDIO 22.596114422875047 Dinheiro Maria 5.0
834 2025-04-13 Baunilha MÉDIO 22.61099623532223 Dinheiro Carlos 1.0
829 2025-04-08 Morango MÉDIO 22.82927483612269 Cartão Maria 4.0
548 2024-07-01 Limao MÉDIO 22.869753318587428 PIX Carlos 0.0
137 2023-05-17 Pistache MÉDIO 22.8826249682222 PIX Carlos 0.0
